bc,nsub,dip,variant,ncol,nlay,status,rms_all_mm,rms_mid_mm,max_abs_mm,drop_mid_mm,drop_ana_mm,drop_ratio,kgeo
analytical,2,20.0,planview_xt3d,42,6,ok,115.5510425728971,148.59288636336765,214.8804617770441,2331.9876507284425,2229.6311094377093,1.0459073883825323,"1.0,0.01,1.0"
analytical,2,25.0,planview_xt3d,42,6,ok,176.44147295399455,226.42187318516466,328.2076712398423,2229.9928877536613,2074.0193572292555,1.0752035076146906,"1.0,0.01,1.0"
analytical,2,30.0,planview_xt3d,42,6,ok,246.77952663117642,315.81205300255243,460.08018814037933,2111.310197802567,1893.7500000000002,1.1148832727670321,"1.0,0.01,1.0"
analytical,2,35.0,planview_xt3d,42,6,ok,324.5291076862173,413.74013815361957,606.371337337547,1979.3359418507398,1694.3004309486566,1.1682319768652178,"1.0,0.01,1.0"
analytical,2,40.0,planview_xt3d,42,6,ok,406.78679940919886,515.7934845939715,762.4207845482558,1837.0928876330363,1481.7308243044995,1.2398290279851187,"1.0,0.01,1.0"
analytical,2,45.0,planview_xt3d,42,6,ok,490.83134623523785,617.3799516742096,924.3141216095489,1687.8771763466032,1262.5,1.3369324169082006,"1.0,0.01,1.0"
analytical,2,50.0,planview_xt3d,42,6,ok,574.4924113543965,713.6385436711358,1089.6728298513115,1534.981116380094,1043.2691756955005,1.471318382771916,"1.0,0.01,1.0"
analytical,2,55.0,planview_xt3d,42,6,ok,649.6555915555779,791.8168974176778,1245.7438024583728,1376.3016106461994,830.699569051343,1.6567982721092929,"1.0,0.01,1.0"
analytical,2,60.0,planview_xt3d,42,6,ok,713.2086146856603,840.4597550963471,1392.8783143224903,1210.3624938588457,631.2500000000005,1.917405930865497,"1.0,0.01,1.0"
analytical,2,0.0,provost_std,42,6,ok,4.504465687703846e-06,3.5333110828540213e-06,9.695913405494139e-06,2524.999999244128,2524.9999999999995,0.999999999700645,"1.0,0.01,1.0"
analytical,2,5.0,provost_std,42,6,ok,78.84615793981112,101.58569783334097,145.9820467355364,2435.853120590303,2505.8197881779124,0.9720783322417272,"1.0,0.01,1.0"
analytical,2,10.0,provost_std,42,6,ok,141.75566741775845,182.4056314234643,261.9408009090582,2323.2394971803424,2448.8619337422087,0.9487017071763219,"1.0,0.01,1.0"
analytical,2,15.0,provost_std,42,6,ok,186.99892543483887,240.26804035588734,344.7750977413913,2190.394224919774,2355.8570722778536,0.9297653285909677,"1.0,0.01,1.0"
